,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
928,929,DexCom,2448.5,27.1,154.7,-68.7,4863.6,49824.5,47,6650,1,0
929,930,Rollins,2424.3,12.2,350.7,34.5,1980.9,17260.7,-9,16482,1,1
931,932,Bruker,2417.9,21.7,277.1,75.6,3650.0,9694.7,26,7765,1,0
932,933,Joann,2417.6,-12.5,56.7,-73.3,2362.2,463.2,-142,13530,1,1
934,935,Gray Television,2413.0,1.3,90.0,-78.0,11108.0,2093.2,-68,8801,1,1
935,936,Affiliated Managers Group,2412.4,19.0,565.7,179.8,8876.4,5606.8,15,4050,1,0
936,937,Summit Materials,2409.7,3.3,152.2,10.3,4239.1,3687.8,-50,5500,1,1
937,938,SLM,2409.3,2.4,1160.5,31.8,29221.9,5129.7,-59,1450,1,1
939,940,Allison Transmission Holdings,2402.0,15.4,442.0,47.8,4457.0,3810.6,3,3400,1,0
940,941,Element Solutions,2399.8,29.5,203.3,168.6,5138.4,5434.8,-,5300,1,1
941,942,Portland General Electric,2396.0,11.7,244.0,57.4,9494.0,4940.0,-16,2839,1,1
944,945,Alexandria Real Estate Equities,2373.6,2.9,571.2,-25.9,30219.4,32188.6,-55,559,1,1
945,946,Nordson,2362.2,11.4,454.4,82.1,3791.0,13157.1,-12,6813,1,1
946,947,NewMarket,2356.1,17.2,190.9,-29.4,2558.4,3346.7,7,2104,1,0
948,949,Stepan,2346.0,25.5,137.8,8.7,2065.6,2215.6,43,2439,1,0
949,950,Valhi,2335.4,24.3,127.2,130.4,3005.2,828.8,39,2847,1,0
952,953,Etsy,2329.1,35.0,493.5,41.3,3831.8,15787.7,-,2402,1,1
953,954,Crocs,2313.4,66.9,725.7,132.0,1545.1,4676.2,-,5770,1,1
955,956,Signature Bank,2311.3,15.2,918.4,73.8,118445.4,18416.9,-,1854,1,1
956,957,SBA Communications,2308.8,10.8,237.6,885.8,9801.7,37168.7,-15,1596,1,1
958,959,Entegris,2298.9,23.6,409.1,38.7,3191.9,17830.9,38,6850,1,0
